#Total 1566 genes are submitted
#470 of them are predicted as essential genes
Class(essential gene:1,others:0)	Essentiality Score	Protein
1	0.2779		gi|2313078|gb|AAD070
0	0.2313		gi|2313079|gb|AAD070
0	0.2313		gi|2313080|gb|AAD070
0	0.0771		gi|2313081|gb|AAD070
0	0.0771		gi|2313082|gb|AAD070
1	0.6753		gi|2313083|gb|AAD070
1	0.5058		gi|2313088|gb|AAD070
0	0.0		gi|2313089|gb|AAD070
1	0.3393		gi|2313084|gb|AAD070
1	0.3859		gi|2313085|gb|AAD070
1	0.3702		gi|2313086|gb|AAD070
0	0.0		gi|2313087|gb|AAD070
0	0.0154		gi|2313095|gb|AAD070
0	0.0		gi|2313096|gb|AAD070
0	0.0		gi|2313097|gb|AAD070
0	0.0		gi|2313091|gb|AAD070
0	0.0154		gi|2313098|gb|AAD070
0	0.0		gi|2313092|gb|AAD070
0	0.0312		gi|2313093|gb|AAD070
0	0.0154		gi|2313099|gb|AAD070
0	0.0154		gi|2313094|gb|AAD070
0	0.0154		gi|2313100|gb|AAD070
1	0.5058		gi|2313101|gb|AAD070
0	0.0		gi|2313112|gb|AAD071
0	0.1388		gi|2313103|gb|AAD070
0	0.1233		gi|2313104|gb|AAD070
1	0.5212		gi|2313105|gb|AAD070
0	0.0929		gi|2313106|gb|AAD071
0	0.0		gi|2313113|gb|AAD071
0	0.0154		gi|2313114|gb|AAD071
0	0.0154		gi|2313107|gb|AAD071
0	0.0		gi|2313108|gb|AAD071
1	0.5366		gi|2313109|gb|AAD071
1	0.5836		gi|2313110|gb|AAD071
0	0.0		gi|2313115|gb|AAD071
0	0.0154		gi|2313111|gb|AAD071
0	0.0		gi|2313125|gb|AAD071
0	0.0154		gi|2313126|gb|AAD071
0	0.0		gi|2313127|gb|AAD071
0	0.0308		gi|2313128|gb|AAD071
0	0.0		gi|2313117|gb|AAD071
0	0.0463		gi|2313118|gb|AAD071
0	0.0308		gi|2313119|gb|AAD071
0	0.0617		gi|2313120|gb|AAD071
0	0.0		gi|2313130|gb|AAD071
0	0.0		gi|2313121|gb|AAD071
0	0.0154		gi|2313122|gb|AAD071
0	0.0466		gi|2313129|gb|AAD071
0	0.0		gi|2313123|gb|AAD071
0	0.0463		gi|2313124|gb|AAD071
0	0.0		gi|2313135|gb|AAD071
0	0.0155		gi|2313136|gb|AAD071
0	0.0		gi|2313132|gb|AAD071
0	0.0		gi|2313133|gb|AAD071
0	0.0463		gi|2313134|gb|AAD071
0	0.0		gi|2313144|gb|AAD071
