#Total 5671 genes are submitted
#348 of them are predicted as essential genes
Class(essential gene:1,others:0)	Essentiality Score	Protein
1	0.9698		gi|553896171|gb|AGY6
1	0.9005		gi|553900550|gb|AGY7
0	0.0225		gi|553896944|gb|AGY7
1	0.938		gi|553895150|gb|AGY6
0	0.1272		gi|553898502|gb|AGY7
1	0.7278		gi|553898281|gb|AGY7
0	0.0		gi|553899310|gb|AGY7
1	0.9329		gi|553895898|gb|AGY6
1	0.9327		gi|553895946|gb|AGY6
0	0.0		gi|553899857|gb|AGY7
0	0.0225		gi|553898572|gb|AGY7
0	0.0074		gi|553900480|gb|AGY7
0	0.0077		gi|553899883|gb|AGY7
0	0.0		gi|553900474|gb|AGY7
0	0.0		gi|553900612|gb|AGY7
0	0.0225		gi|553898500|gb|AGY7
0	0.0074		gi|553899474|gb|AGY7
1	0.9622		gi|553897222|gb|AGY7
1	0.9471		gi|553900353|gb|AGY7
0	0.0		gi|553896488|gb|AGY7
0	0.0074		gi|553895757|gb|AGY6
1	0.9477		gi|553900640|gb|AGY7
0	0.0		gi|553899514|gb|AGY7
1	0.8578		gi|553900324|gb|AGY7
0	0.0527		gi|553897771|gb|AGY7
0	0.0		gi|553896119|gb|AGY6
0	0.0		gi|553898228|gb|AGY7
0	0.0		gi|553896733|gb|AGY7
0	0.0		gi|553897906|gb|AGY7
0	0.0075		gi|553898389|gb|AGY7
0	0.0		gi|553899864|gb|AGY7
0	0.0		gi|553895615|gb|AGY6
0	0.0		gi|553899621|gb|AGY7
0	0.0		gi|553896808|gb|AGY7
0	0.0		gi|553896153|gb|AGY6
0	0.0377		gi|553899779|gb|AGY7
0	0.0601		gi|553898890|gb|AGY7
0	0.0		gi|553896738|gb|AGY7
0	0.0		gi|553899553|gb|AGY7
0	0.0077		gi|553900072|gb|AGY7
0	0.0074		gi|553897236|gb|AGY7
0	0.0		gi|553899913|gb|AGY7
0	0.0		gi|553900373|gb|AGY7
0	0.0		gi|553895062|gb|AGY6
0	0.015		gi|553897308|gb|AGY7
0	0.0		gi|553897879|gb|AGY7
0	0.0		gi|553897466|gb|AGY7
0	0.0		gi|553898291|gb|AGY7
0	0.0		gi|553897225|gb|AGY7
0	0.0		gi|553895944|gb|AGY6
0	0.0076		gi|553899399|gb|AGY7
0	0.0		gi|553895191|gb|AGY6
0	0.0694		gi|553899774|gb|AGY7
0	0.0		gi|553897282|gb|AGY7
0	0.0		gi|553898007|gb|AGY7
0	0.0		gi|553896265|gb|AGY6
0	0.0		gi|553897354|gb|AGY7
0	0.0		gi|553897079|gb|AGY7
0	0.0		gi|553896505|gb|AGY7
0	0.0		gi|553896452|gb|AGY6
0	0.0		gi|553896314|gb|AGY6
0	0.0		gi|553898503|gb|AGY7
0	0.0077		gi|553895532|gb|AGY6
0	0.0		gi|553897674|gb|AGY7
0	0.0		gi|553897449|gb|AGY7
0	0.0		gi|553895090|gb|AGY6
0	0.0		gi|553896327|gb|AGY6
0	0.0		gi|553899376|gb|AGY7
0	0.0		gi|553895611|gb|AGY6
0	0.0		gi|553897459|gb|AGY7
0	0.0		gi|553895318|gb|AGY6
0	0.0		gi|553898437|gb|AGY7
0	0.0074		gi|553895116|gb|AGY6
0	0.0		gi|553899036|gb|AGY7
0	0.0		gi|553900382|gb|AGY7
0	0.0		gi|553899478|gb|AGY7
