#Total 4140 genes are submitted
#324 of them are predicted as essential genes
Class(essential gene:1,others:0)	Essentiality Score	Protein
0	0.0		gi|1786182|gb|AAC731
0	0.1684		gi|1786183|gb|AAC731
0	0.0239		gi|1786184|gb|AAC731
0	0.0721		gi|1786185|gb|AAC731
0	0.0		gi|1786186|gb|AAC731
0	0.0239		gi|1786187|gb|AAC731
0	0.012		gi|1786188|gb|AAC731
0	0.0124		gi|1786189|gb|AAC731
0	0.0119		gi|1786190|gb|AAC731
0	0.012		gi|1786191|gb|AAC731
0	0.0		gi|1786193|gb|AAC731
0	0.0		gi|1786195|gb|AAC731
1	0.311		gi|1786196|gb|AAC731
0	0.1679		gi|1786197|gb|AAC731
0	0.0		gi|1786198|gb|AAC731
0	0.0		gi|1786200|gb|AAC731
0	0.0		gi|48994874|gb|AAT48
0	0.0239		gi|1786201|gb|AAC731
0	0.0		gi|1786202|gb|AAC731
0	0.0		gi|1786203|gb|AAC731
0	0.0		gi|1786204|gb|AAC731
1	0.2478		gi|1786206|gb|AAC731
0	0.0		gi|1786207|gb|AAC731
1	0.8963		gi|1786208|gb|AAC731
1	0.3954		gi|2367096|gb|AAC731
1	0.8133		gi|1786210|gb|AAC731
0	0.0122		gi|1786211|gb|AAC731
1	0.8369		gi|1786212|gb|AAC731
0	0.0		gi|1786213|gb|AAC731
1	0.849		gi|1786214|gb|AAC731
0	0.1203		gi|1786215|gb|AAC731
0	0.1082		gi|1786216|gb|AAC731
0	0.0		gi|87081680|gb|AAC73
0	0.0		gi|87081681|gb|AAC73
0	0.0		gi|221142681|gb|AAC7
0	0.0		gi|221142682|gb|AAC7
0	0.0		gi|1786222|gb|AAC731
0	0.0		gi|1786223|gb|AAC731
0	0.0		gi|1786224|gb|AAC731
0	0.1088		gi|87081682|gb|AAC73
0	0.0723		gi|1786226|gb|AAC731
0	0.0		gi|1786227|gb|AAC731
0	0.0		gi|1786228|gb|AAC731
0	0.0121		gi|1786229|gb|AAC731
0	0.0		gi|1786231|gb|AAC731
0	0.0		gi|1786232|gb|AAC731
1	0.8769		gi|1786233|gb|AAC731
0	0.0		gi|1786234|gb|AAC731
0	0.0		gi|1786235|gb|AAC731
0	0.0484		gi|1786236|gb|AAC731
0	0.1448		gi|1786237|gb|AAC731
0	0.1673		gi|1786238|gb|AAC731
1	0.7965		gi|1786239|gb|AAC731
0	0.0119		gi|1786241|gb|AAC731
0	0.0		gi|1786244|gb|AAC731
0	0.0		gi|1786245|gb|AAC731
0	0.0		gi|1786246|gb|AAC731
0	0.0		gi|1786247|gb|AAC731
0	0.0		gi|1786248|gb|AAC731
0	0.0		gi|1786249|gb|AAC731
0	0.0		gi|1786251|gb|AAC731
0	0.0		gi|1786252|gb|AAC731
0	0.0		gi|1786253|gb|AAC731
0	0.0		gi|1786254|gb|AAC731
0	0.0		gi|1786255|gb|AAC731
0	0.0		gi|1786256|gb|AAC731
0	0.0		gi|226510924|gb|ACO5
0	0.0119		gi|48994875|gb|AAT48
0	0.0725		gi|1786258|gb|AAC731
0	0.0602		gi|1786259|gb|AAC731
0	0.0482		gi|87081683|gb|AAC73
0	0.0482		gi|1786261|gb|AAC731
0	0.0		gi|1786263|gb|AAC731
0	0.0		gi|87081684|gb|AAC73
0	0.048		gi|87081685|gb|AAC73
0	0.0602		gi|1786266|gb|AAC731
0	0.0		gi|1786268|gb|AAC731
0	0.0672		gi|1786269|gb|AAC731
0	0.176		gi|1786270|gb|AAC731
1	0.7052		gi|1786271|gb|AAC731
1	0.8926		gi|1786272|gb|AAC731
1	0.9407		gi|1786273|gb|AAC731
1	0.9567		gi|1786274|gb|AAC731
1	0.9448		gi|1786275|gb|AAC731
1	0.9284		gi|1786276|gb|AAC731
1	0.8927		gi|1786277|gb|AAC732
1	0.9645		gi|1786278|gb|AAC732
1	0.8807		gi|1786279|gb|AAC732
0	0.1522		gi|1786280|gb|AAC732
1	0.765		gi|1786281|gb|AAC732
1	0.9406		gi|1786282|gb|AAC732
1	1.0		gi|1786284|gb|AAC732
1	0.8129		gi|1786285|gb|AAC732
1	0.593		gi|87081686|gb|AAC73
1	0.8845		gi|1786287|gb|AAC732
0	0.0		gi|1786288|gb|AAC732
0	0.0		gi|1786290|gb|AAC732
0	0.0239		gi|1786291|gb|AAC732
1	0.3277		gi|1786292|gb|AAC732
0	0.0239		gi|1786293|gb|AAC732
0	0.0		gi|1786295|gb|AAC732
0	0.0		gi|1786296|gb|AAC732
0	0.0		gi|1786297|gb|AAC732
0	0.0601		gi|1786299|gb|AAC732
0	0.0		gi|1786300|gb|AAC732
0	0.0		gi|1786301|gb|AAC732
0	0.0		gi|1786302|gb|AAC732
0	0.0		gi|1786303|gb|AAC732
0	0.0317		gi|1786304|gb|AAC732
0	0.0634		gi|1786305|gb|AAC732
0	0.1914		gi|1786307|gb|AAC732
0	0.0		gi|1786308|gb|AAC732
0	0.0802		gi|2367097|gb|AAC732
0	0.0		gi|87081687|gb|AAC73
0	0.0		gi|1786311|gb|AAC732
0	0.0		gi|1786312|gb|AAC732
0	0.0		gi|87081688|gb|AAC73
0	0.0		gi|1786314|gb|AAC732
0	0.0198		gi|1786316|gb|AAC732
0	0.0835		gi|87081689|gb|AAC73
1	0.6323		gi|1786318|gb|AAC732
0	0.0		gi|1786319|gb|AAC732
